link_id,from_node_id,to_node_id,link_type,lanes,capacity,free_speed,vdf_free_speed_mph,length,vdf_length_mi,vdf_fftt,vdf_type,vdf_A,vdf_alpha,vdf_beta,vdf_plf,allowed_use,factype,name
243,1,23500,1,1,99999,17.7,11.0,768.8,0.4777,2.6056,0,0.0,0.15,4.0,0.915,,0,CENTROID CONNECTOR
244,1,23503,1,1,99999,17.7,11.0,1296.9,0.8059,4.3956,0,0.0,0.15,4.0,0.915,,0,CENTROID CONNECTOR
245,1,46685,1,1,99999,17.7,11.0,1305.7,0.8113,4.4254,0,0.0,0.15,4.0,0.915,,0,CENTROID CONNECTOR
406,2,22999,1,1,99999,17.7,11.0,1106.2,0.6874,3.7492,0,0.0,0.15,4.0,0.915,,0,CENTROID CONNECTOR
407,2,23022,1,1,99999,17.7,11.0,1306.1,0.8116,4.4268,0,0.0,0.15,4.0,0.915,,0,CENTROID CONNECTOR
408,2,23032,1,1,99999,17.7,11.0,1415.1,0.8793,4.7963,0,0.0,0.15,4.0,0.915,,0,CENTROID CONNECTOR
409,2,23041,1,1,99999,17.7,11.0,1238.9,0.7698,4.199,0,0.0,0.15,4.0,0.915,,0,CENTROID CONNECTOR
678,3,14025,1,1,99999,11.27,7.0,244.6,0.152,1.3025,0,0.0,0.15,4.0,0.915,,0,CENTROID CONNECTOR
679,3,14042,1,1,99999,11.27,7.0,281.0,0.1746,1.4964,0,0.0,0.15,4.0,0.915,,0,CENTROID CONNECTOR
696,4,13330,1,1,99999,11.27,7.0,203.1,0.1262,1.0815,0,0.0,0.15,4.0,0.915,,0,CENTROID CONNECTOR
697,4,13332,1,1,99999,11.27,7.0,245.6,0.1526,1.3079,0,0.0,0.15,4.0,0.915,,0,CENTROID CONNECTOR
698,4,60429,1,1,99999,11.27,7.0,294.9,0.1832,1.5705,0,0.0,0.15,4.0,0.915,,0,CENTROID CONNECTOR
708,5,13310,1,1,99999,11.27,7.0,353.8,0.2198,1.8843,0,0.0,0.15,4.0,0.915,,0,CENTROID CONNECTOR
709,5,13311,1,1,99999,11.27,7.0,277.7,0.1726,1.4792,0,0.0,0.15,4.0,0.915,,0,CENTROID CONNECTOR
710,5,13312,1,1,99999,11.27,7.0,292.6,0.1818,1.5586,0,0.0,0.15,4.0,0.915,,0,CENTROID CONNECTOR
711,5,60429,1,1,99999,11.27,7.0,266.8,0.1658,1.4208,0,0.0,0.15,4.0,0.915,,0,CENTROID CONNECTOR
819,6,13329,1,1,99999,11.27,7.0,377.6,0.2346,2.0113,0,0.0,0.15,4.0,0.915,,0,CENTROID CONNECTOR
820,6,13338,1,1,99999,11.27,7.0,312.6,0.1943,1.6651,0,0.0,0.15,4.0,0.915,,0,CENTROID CONNECTOR
865,7,11602,1,1,99999,17.7,11.0,203.1,0.1262,0.6884,0,0.0,0.15,4.0,0.915,,0,CENTROID CONNECTOR
866,7,11610,1,1,99999,17.7,11.0,159.1,0.0989,0.5392,0,0.0,0.15,4.0,0.915,,0,CENTROID CONNECTOR
1122,8,11384,1,1,99999,11.27,7.0,266.8,0.1658,1.4209,0,0.0,0.15,4.0,0.915,,0,CENTROID CONNECTOR
1123,8,11391,1,1,99999,11.27,7.0,365.0,0.2268,1.944,0,0.0,0.15,4.0,0.915,,0,CENTROID CONNECTOR
1124,8,11397,1,1,99999,11.27,7.0,470.1,0.2921,2.5036,0,0.0,0.15,4.0,0.915,,0,CENTROID CONNECTOR
1125,8,60376,1,1,99999,11.27,7.0,204.3,0.1269,1.088,0,0.0,0.15,4.0,0.915,,0,CENTROID CONNECTOR
1126,8,60507,1,1,99999,11.27,7.0,111.6,0.0693,0.5943,0,0.0,0.15,4.0,0.915,,0,CENTROID CONNECTOR
1279,9,11536,1,1,99999,11.27,7.0,205.0,0.1274,1.092,0,0.0,0.15,4.0,0.915,,0,CENTROID CONNECTOR
1280,9,11537,1,1,99999,11.27,7.0,256.6,0.1594,1.3665,0,0.0,0.15,4.0,0.915,,0,CENTROID CONNECTOR
1281,9,11542,1,1,99999,11.27,7.0,276.3,0.1717,1.4718,0,0.0,0.15,4.0,0.915,,0,CENTROID CONNECTOR
1282,9,49624,1,1,99999,11.27,7.0,339.9,0.2112,1.8101,0,0.0,0.15,4.0,0.915,,0,CENTROID CONNECTOR
