o_zone_id,d_zone_id,volume
1,2,2.0
1,3,1.22
1,4,2.0
1,7,0.61
1,10,0.61
1,135,2.0
1,141,1.22
1,147,1.22
1,2140,0.61
1,2205,0.61
1,2212,1.22
1,2215,2.0
1,2241,0.61
1,2245,1.22
1,2254,0.61
1,2257,0.61
1,2294,0.61
1,2330,0.61
1,4165,2.0
1,4676,2.0
2,1,2.61
2,2,0.61
2,3,6.71
2,10,1.83
2,82,0.61
2,104,0.61
2,127,0.61
2,132,0.61
2,135,0.61
2,138,0.61
2,139,1.22
2,141,4.88
2,145,0.61
2,146,4.88
2,147,6.1
2,148,1.22
2,155,0.61
2,163,0.61
2,166,2.0
2,198,0.61
2,202,0.61
2,212,0.61
2,416,0.61
2,486,0.61
2,1355,0.61
2,1978,0.61
2,2040,0.61
2,2169,0.61
2,2185,2.0
2,2212,1.22
2,2233,0.61
2,2240,1.22
2,2241,0.61
2,2245,1.22
2,2247,2.0
2,2248,2.0
2,2249,0.61
2,2251,1.22
2,2254,1.22
2,2255,0.61
2,2296,0.61
2,2305,0.61
2,2313,0.61
2,2395,0.61
2,2433,0.61
2,2549,0.61
2,2560,0.61
2,4152,0.61
2,4155,0.61
2,4165,0.61
3,1,1.22
3,2,3.05
3,3,60.12
3,4,3.66
3,5,2.61
3,7,0.61
3,10,4.88
3,13,1.22
3,15,0.61
3,16,0.61
3,26,1.83
3,28,1.83
3,41,0.61
3,43,0.61
3,49,0.61
3,52,0.61
3,54,0.61
3,55,2.0
3,59,4.0
3,61,1.22
3,63,0.61
3,65,2.0
3,70,0.61
3,77,1.22
3,94,2.0
3,121,0.61
3,124,1.22
3,131,0.61
3,132,1.22
3,135,3.66
3,139,2.44
3,140,0.61
3,141,6.1
3,146,6.71
3,147,3.05
3,150,0.61
3,152,1.83
3,155,0.61
3,156,0.61
3,161,0.61
3,162,0.61
3,163,0.61
3,168,0.61
3,169,0.61
3,170,0.61
3,171,0.61
3,182,0.61
3,196,0.61
3,199,1.22
3,248,0.61
3,297,0.61
3,335,0.61
3,367,0.61
3,614,0.61
3,1315,1.22
3,1426,2.0
3,1957,0.61
3,1966,0.61
3,1974,0.61
3,1976,0.61
3,1978,0.61
3,2164,0.61
3,2202,0.61
3,2212,0.61
3,2222,1.83
3,2226,0.61
3,2232,0.61
3,2237,2.44
3,2239,0.61
3,2240,1.22
3,2241,4.61
3,2243,0.61
3,2244,1.83
3,2245,2.44
3,2246,0.61
3,2247,0.61
3,2249,1.22
3,2250,1.22
3,2251,1.22
3,2253,2.44
3,2254,2.44
3,2259,0.61
3,2260,0.61
3,2263,1.83
3,2264,1.22
3,2270,2.0
3,2275,0.61
3,2278,2.0
3,2298,0.61
3,2300,0.61
3,2301,0.61
3,2305,0.61
3,2336,0.61
3,2619,0.61
3,2747,2.0
3,2799,1.22
3,2832,0.61
3,2993,2.0
3,4043,0.61
3,4052,0.61
3,4066,0.61
3,4077,0.61
3,4115,0.61
3,4116,0.61
3,4117,0.61
3,4144,2.0
3,4150,0.61
3,4152,1.83
3,4155,2.44
3,4156,1.22
3,4158,1.83
3,4160,1.22
3,4162,0.61
3,4164,1.22
3,4170,0.61
3,4187,0.61
3,4567,0.61
3,4940,0.61
4,3,5.49
4,4,3.05
4,5,0.61
4,7,3.22
4,10,1.22
4,13,0.61
4,14,0.61
4,15,1.22
4,18,0.61
4,20,1.22
4,52,1.22
4,54,1.22
4,55,0.61
4,56,0.61
4,57,0.61
4,75,0.61
4,85,0.61
4,107,0.61
4,119,0.61
4,127,0.61
4,135,6.44
4,139,11.93
4,140,0.61
4,141,12.98
4,146,3.05
4,147,5.49
4,155,0.61
4,156,0.61
4,163,0.61
4,170,0.61
4,190,0.61
4,197,0.61
4,202,1.22
4,215,0.61
4,246,0.61
4,554,0.61
4,1298,0.61
4,1306,2.0
4,1352,0.61
4,1524,2.0
4,2229,1.22
4,2232,0.61
4,2234,0.61
4,2236,0.61
4,2237,1.83
4,2240,0.61
4,2253,0.61
4,2264,0.61
4,2294,0.61
4,2296,0.61
4,2312,0.61
4,4058,2.0
4,4147,2.0
4,4150,1.22
4,4152,0.61
4,4161,0.61
4,4165,0.61
4,4168,0.61
5,3,2.0
5,4,1.22
5,5,1.22
5,8,0.61
5,10,7.93
5,14,0.61
5,15,1.22
5,20,1.22
5,28,0.61
5,36,0.61
5,44,0.61
5,47,1.22
5,52,3.05
5,54,0.61
5,55,0.61
5,56,0.61
5,57,0.61
5,58,2.0
5,71,0.61
5,72,1.22
5,78,0.61
5,104,1.22
5,124,1.22
5,131,0.61
5,135,3.05
5,137,0.61
5,139,3.66
5,141,10.54
5,142,0.61
5,146,4.88
5,147,3.66
5,170,1.83
5,174,1.22
5,180,0.61
5,184,0.61
5,196,0.61
5,197,0.61
5,934,0.61
5,1317,0.61
5,1321,0.61
5,1342,0.61
5,1565,0.61
5,1978,0.61
5,2210,2.0
5,2222,1.22
5,2232,0.61
5,2237,0.61
5,2240,0.61
5,2244,0.61
5,2251,0.61
5,2253,0.61
5,2399,0.61
5,2903,0.61
