bus_stop_id,bus_stop_name,rail_station,distance_m
28812,CONGRESS HEIGHTS STATION & BUS BAY E,CONGRESS HEIGHTS METRO STATION,4.7
28659,MINNESOTA AVE STATION & BUS BAY A,MINNESOTA AVE METRO STATION,5.3
28910,PENTAGON TRANSIT CTR & BUS BAY U10,PENTAGON METRO STATION,5.3
42827,FLORIDA AVE & 2ND ST NE,NOMA-GALLAUDET U (NEW YORK AVE) METRO STATION,9.1
41382,SILVER SPRING STATION & BUS BAY 220,SILVER SPRING METRO STATION,11.1
42925,U ST NW + 13TH ST NW,U STREET METRO STATION,13.7
1848,U ST NW & 13TH ST NW,U STREET METRO STATION,13.9
39860,PENTAGON STATION & BUS BAY U9,PENTAGON METRO STATION,14.1
29293,BALLSTON STATION & BUS BAY D,BALLSTON METRO,14.8
36820,SOUTHERN AVE STATION & BUS BAY Q,SOUTHERN AVE METRO STATION,17.1
41390,SILVER SPRING STATION & BUS BAY 103,SILVER SPRING METRO STATION,17.1
47133,PENTAGON CITY STATION + BUS BAY B,PENTAGON CITY METRO STATION,17.8
31413,17TH ST NW & I ST NW,FARRAGUT WEST METRO STATION,18.7
7190,WISCONSIN AVE NW & WESTERN AVE,FRIENDSHIP HEIGHTS METRO STATION,18.8
28664,RHODE ISLAND AVE STA & BUS BAY E,RHODE ISLAND METRO STATION,18.9
8009,20TH ST NW & Q ST NW,DUPONT CIRCLE METRO STATION,19.0
41414,SILVER SPRING STATION & BUS BAY 219,SILVER SPRING METRO STATION,19.3
29349,PENTAGON TRANSIT CTR & BUS BAY U11,PENTAGON METRO STATION,19.3
41385,SILVER SPRING STATION & BUS BAY 102,SILVER SPRING METRO STATION,19.5
30144,BRANCH AVE STATION & BUS BAY H,BRANCH AVE METRO STATION,20.0
27410,K ST NW & CONNECTICUT AVE NW (MAIN),FARRAGUT NORTH METRO STATION,20.1
30137,FLORIDA AVE NE & 2ND ST NE,NOMA-GALLAUDET U (NEW YORK AVE) METRO STATION,20.1
44630,Pennsylvania Avenue and 7th Street SE,EASTERN MARKET METRO STATION,20.2
