data_type,link_id,tmc_corridor_name,from_node_id,to_node_id,vdf_code,QVDF_plf1,QVDF_qdf1,QVDF_n1,QVDF_s1,QVDF_cp1,QVDF_cd1,QVDF_alpha1,QVDF_beta1,QVDF_plf2,QVDF_qdf2,QVDF_n2,QVDF_s2,QVDF_cp2,QVDF_cd2,QVDF_alpha2,QVDF_beta2,QVDF_plf3,QVDF_qdf3,QVDF_n3,QVDF_s3,QVDF_cp3,QVDF_cd3,QVDF_alpha3,QVDF_beta3
vdf_code,,,,,100,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.01,1.3,0.2,1.3,0.150022,1.313
vdf_code,,,,,101,0.694054738,0.480269516,1.043007,0.859375,0.2,1.007036,0.107311,0.896334,1.036618271,0.16077921,1.01,1.3,0.2,1.3,0.150022,1.313,0.641517445,0.389701016,1.000001,0.2,0.2,1.006104,0.106797,0.2
vdf_code,,,,,102,1,1,1.002564,0.37009,0.2,1.000001,0.106667,0.371039,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.015473,0.22094,0.2,1.000001,0.106667,0.224359
vdf_code,,,,,103,1,1,1.000001,0.2,0.2,1.000001,0.106667,0.2,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.000001,0.2,0.2,1.000001,0.106667,0.2
vdf_code,,,,,105,1,1,1.000001,0.2,0.2,1.000001,0.106667,0.2,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.02702,0.679462,0.2,1.000001,0.106667,0.697821
vdf_code,,,,,200,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.01,1.3,0.2,1.3,0.150022,1.313
vdf_code,,,,,201,0.697590336,0.477835366,1.005447,0.680466,0.2,1.012976,0.107607,0.684173,0.758039488,0.219865415,1.01,1.3,0.2,1.3,0.150022,1.313,0.676232162,0.369695519,1.002693,1.077597,0.2,1.096914,0.117847,1.080499
vdf_code,,,,,202,0.611543264,0.545069095,1.000001,0.2,0.2,1.001212,0.106693,0.2,0.660743092,0.252241255,1.01458,0.2,0.2,1.000001,0.106667,0.202916,0.584396674,0.42779162,1.009951,0.287036,0.2,1.004009,0.106789,0.289892
vdf_code,,,,,203,1,1,1.000001,0.2,0.2,1.01596,0.107005,0.2,1,1,1.014199,0.2,0.2,1.000001,0.106667,0.20284,1,1,1.000001,0.2,0.2,1.000001,0.106667,0.2
vdf_code,,,,,204,1,1,1.000001,0.2,0.2,1.000001,0.106667,0.2,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.121702,0.2,0.2,1.000001,0.106667,0.22434
vdf_code,,,,,205,1,1,1.000001,0.739764,0.2,1.000001,0.106667,0.739765,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.000001,0.2,0.2,1.009581,0.10687,0.2
vdf_code,,,,,206,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.01,1.3,0.2,1.3,0.150022,1.313
vdf_code,,,,,300,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.01,1.3,0.2,1.3,0.150022,1.313
vdf_code,,,,,301,0.755561486,0.441173008,1.030394,0.849643,0.2,1.019491,0.108431,0.875467,0.876236819,0.190207331,1.01,1.3,0.2,1.3,0.150022,1.313,0.795678136,0.314197398,1.000001,1.242287,0.2,1.073917,0.116548,1.242288
vdf_code,,,,,302,0.687103235,0.485128459,1.003145,0.2,0.2,1.000001,0.106667,0.200629,0.782689863,0.212940878,1.000001,0.2,0.2,1.001779,0.106705,0.2,0.584674395,0.427588419,1.020691,0.444428,0.2,1.000001,0.106667,0.453624
vdf_code,,,,,303,1,1,1.004619,0.2,0.2,1.000001,0.106667,0.200924,1,1,1.000001,0.2,0.2,1.000001,0.106667,0.2,1,1,1.008521,0.2,0.2,1.000001,0.106667,0.201704
vdf_code,,,,,304,1,1,1.000001,0.2,0.2,1.000001,0.106667,0.2,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.010393,0.2,0.2,1.014527,0.106975,0.202079
vdf_code,,,,,305,0.826722948,0.403198356,1.314492,0.2,0.2,1.000001,0.106667,0.262899,1.002574236,0.166238729,1.01,1.3,0.2,1.3,0.150022,1.313,0.680276659,0.367497542,1.088666,0.923737,0.335281,1.000001,0.178817,1.005641
vdf_code,,,,,306,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.01,1.3,0.2,1.3,0.150022,1.313
vdf_code,,,,,400,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.01,1.3,0.2,1.3,0.150022,1.313
vdf_code,,,,,401,0.779539935,0.427602639,1.000001,0.280052,0.391108,1.04557,0.21121,0.280052,0.931405779,0.178940984,1.140154,0.435858,0.2,1.003382,0.106824,0.496945,0.872801864,0.286433852,1.000001,0.864134,0.2,1.067718,0.11288,0.864134
vdf_code,,,,,402,0.638991139,0.521655643,1.000001,0.36149,0.2,1.029638,0.107799,0.361491,0.630485891,0.264346386,1.01,1.3,0.2,1.3,0.150022,1.313,0.564759905,0.442665986,1.000001,0.2,0.2,1.003955,0.106751,0.2
vdf_code,,,,,403,1,1,1.000001,0.2,0.2,1.010015,0.106879,0.2,1,1,1.000001,0.2,0.2,1.000001,0.106667,0.2,1,1,1.005423,0.2,0.2,1.006736,0.10681,0.201085
vdf_code,,,,,404,1,1,1.015727,0.2,0.2,1.000001,0.106667,0.203145,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.000001,0.2,0.2,1.000001,0.106667,0.2
vdf_code,,,,,405,1,1,1.000001,0.2,0.2,1.044005,0.107589,0.2,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.024088,0.2,0.2,1.000001,0.106667,0.204818
vdf_code,,,,,500,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.01,1.3,0.2,1.3,0.150022,1.313
vdf_code,,,,,501,0.814164027,0.409417909,1.000001,0.956607,0.2,1.034174,0.110151,0.956608,0.69122525,0.241117735,1.000001,0.58224,0.2,1.008022,0.107164,0.58224,0.76455331,0.326988317,1.031271,0.628392,0.2,1.005638,0.107044,0.648043
vdf_code,,,,,502,0.716947523,0.464934075,1.000001,0.2,0.2,1.017265,0.107032,0.2,0.583173561,0.285792563,1.000001,2.446175,0.2,1.000001,0.106667,2.446178,0.526313767,0.475001825,1.004659,0.331798,0.2,1.013154,0.10713,0.333343
vdf_code,,,,,503,1,1,1.000001,0.2,0.2,1.000001,0.106667,0.2,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.000001,0.2,0.2,1.019785,0.107085,0.2
vdf_code,,,,,504,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.000001,0.2,0.2,1.026858,0.107234,0.2
vdf_code,,,,,505,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.01,1.3,0.2,1.3,0.150022,1.313
vdf_code,,,,,506,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.01,1.3,0.2,1.3,0.150022,1.313
vdf_code,,,,,600,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.01,1.3,0.2,1.3,0.150022,1.313
vdf_code,,,,,601,0.876323891,0.380376864,1.01,1.3,0.2,1.3,0.150022,1.313,0.978493253,0.170329909,1.01,1.3,0.2,1.3,0.150022,1.313,0.676860848,0.369352136,1.000001,0.2,0.206979,1.029197,0.111026,0.2
vdf_code,,,,,602,1,1,1.008463,0.2,0.2,1.009412,0.106867,0.201693,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.008664,0.2,0.2,1.000001,0.106667,0.201733
vdf_code,,,,,603,1,1,1.000001,0.2,0.2,1.023894,0.107172,0.2,1,1,1.000001,0.2,0.2,1.007831,0.106833,0.2,1,1,1.000001,0.2,0.2,1.020142,0.107093,0.2
vdf_code,,,,,604,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.03556,0.2,0.2,1.000001,0.106667,0.207112
vdf_code,,,,,605,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.01,1.3,0.2,1.3,0.150022,1.313,1,1,1.01,1.3,0.2,1.3,0.150022,1.313
vdf_code,,,,,all,1,1,1.000001,0.234109,0.2,1.011523,0.106953,0.234109,1,1,1.001236,0.2,0.2,1.001446,0.106697,0.200247,1,1,1.000001,0.441732,0.2,1.029707,0.108055,0.441732
